ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,P-P101,Águeda,40.57197,-8.44785,16
P-P101,Águeda,,,,,40.57197,-8.44785,16
,,P-P101-1,Umbrella Sky Project,,,40.57211,-8.44728,18
,,,,P-P102,Paredes,40.57712,-8.45287,22
P-P102,Paredes,,,,,40.57712,-8.45287,22
,,,,P-P103,Vale da Erva,40.57985,-8.45573,36
P-P103,Vale da Erva,,,,,40.57985,-8.45573,36
,,,,P-P104,Mourisca do Vouga,40.60593,-8.46196,77
P-P104,Mourisca do Vouga,,,,,40.60593,-8.46196,77
,,,,P-P105,Pedaçães,40.62791,-8.47019,74
P-P105,Pedaçães,,,,,40.62791,-8.47019,74
,,,,.,,40.63084,-8.46886,24
,,,,P-P106,Lamas do Vouga,40.63678,-8.47062,26
P-P106,Lamas do Vouga,,,,,40.63678,-8.47062,26
,,P-P106-1,Ponte medieval do Rio Marnel,,,40.63329,-8.46943,14
,,,,P-P107,Lameiro,40.64641,-8.46581,32
P-P107,Lameiro,,,,,40.64641,-8.46581,32
,,,,P-P108,Serém de Cima,40.65458,-8.47017,95
P-P108,Serém de Cima,,,,,40.65458,-8.47017,95
,,,,P-P109,Albergaria-a-Velha,40.68885,-8.48188,118
P-P109,Albergaria-a-Velha,,,,,40.68885,-8.48188,118
,,P-P109-1,Statue of Queen Teresa,,,40.69303,-8.47979,123
,,,,P-P110,Urgueiras,40.70430,-8.47797,150
P-P110,Urgueiras,,,,,40.70430,-8.47797,150
,,,,P-P111,Albergaria-a-Nova,40.74353,-8.49064,154
P-P111,Albergaria-a-Nova,,,,,40.74353,-8.49064,154
,,,,P-P112,Laginhas,40.75560,-8.48922,150
P-P112,Laginhas,,,,,40.75560,-8.48922,150
,,,,P-P113,Escusa,40.76012,-8.48900,149
P-P113,Escusa,,,,,40.76012,-8.48900,149
,,,,P-P114,Outeirinho,40.76580,-8.48498,154
P-P114,Outeirinho,,,,,40.76580,-8.48498,154
,,,,P-P115,Coche,40.77148,-8.48383,157
P-P115,Coche,,,,,40.77148,-8.48383,157
,,,,P-P116,Pinheiro da Bemposta,40.78461,-8.49200,139
P-P116,Pinheiro da Bemposta,,,,,40.78461,-8.49200,139
,,,,P-P117,Besteiros,40.79890,-8.48107,211
P-P117,Besteiros,,,,,40.79890,-8.48107,211
,,,,P-P118,Póvoa (Travaca),40.81590,-8.48194,127
P-P118,Póvoa (Travaca),,,,,40.81590,-8.48194,127
