ID,Name,PoI ID,PoI Name,To ID,To Name,Latitude,Longitude,Elevation
,,,,.,,43.47619,-3.64685,147
,,,,N-N68,Galizano,43.46853,-3.67007,15
N-N68,Galizano,,,,,43.46853,-3.67007,15
,,N-N66-1,Transfer between main route and cliff route,,,43.46646,-3.66898,--
,,,,N-N69,Langre,43.47704,-3.70710,37
,,,,N-N70,Loredo,43.46354,-3.72292,13
N-N69,Langre,,,,,43.47704,-3.70710,37
,,,,.,,43.47291,-3.72215,16
,,,,.,,43.46567,-3.72086,13
,,,,N-N70,Loredo,43.46354,-3.72292,13
N-N70,Loredo,,,,,43.46354,-3.72292,13
,,,,N-N71,Somo,43.45396,-3.74262,9
N-N71,Somo,,,,,43.45396,-3.74262,9
,,N-N71-1,Ferry to Santander,,,43.45200,-3.74651,1
,,,,N-N72,El Astillero,43.39753,-3.81990,14
,,,,N-N73,Santander,43.46111,-3.80626,4
N-N72,El Astillero,,,,,43.39753,-3.81990,14
,,,,N-N74,Peñacastillo,43.44865,-3.86398,46
N-N73,Santander,,,,,43.46111,-3.80626,4
,,N-N73-1,Catedral de Santander,,,43.46106,-3.80713,5
,,,,N-N74,Peñacastillo,43.44865,-3.86398,46
N-N74,Peñacastillo,,,,,43.44865,-3.86398,46
,,,,N-N75,Santa Cruz de Bezana,43.44279,-3.90218,48
N-N75,Santa Cruz de Bezana,,,,,43.44279,-3.90218,48
,,,,N-N76,Mompía,43.43947,-3.92131,84
N-N76,Mompía,,,,,43.43947,-3.92131,84
,,,,N-N77,Boo de Piélagos,43.42640,-3.94046,43
N-N77,Boo de Piélagos,,,,,43.42640,-3.94046,43
,,N-N77-1,Train Over Ria de Mongro,,,43.43158,-3.94633,20
,,,,.,,43.41974,-3.95654,5
,,,,.,,43.41304,-3.95778,4
,,,,N-N78,Puente Arce,43.40985,-3.94408,14
,,,,N-N81,Mogro,43.42504,-3.96090,5
N-N78,Puente Arce,,,,,43.40985,-3.94408,14
,,N-N78-1,Arched Bridge,,,43.40314,-3.94738,5
,,,,N-N79,Oruña,43.40256,-3.94930,7
N-N79,Oruña,,,,,43.40256,-3.94930,7
,,,,N-N80,Mar,43.40005,-4.00946,14
N-N80,Mar,,,,,43.40005,-4.00946,14
,,,,N-N83,Requjada,43.39149,-4.02952,5
N-N81,Mogro,,,,,43.42504,-3.96090,5
,,,,.,,43.42733,-3.96846,26
,,,,.,,43.41516,-3.99368,102
,,,,.,,43.42665,-4.01118,68
,,,,N-N82,Cudón,43.41571,-4.01129,22
N-N82,Cudón,,,,,43.41571,-4.01129,22
,,,,N-N83,Requjada,43.39149,-4.02952,5
N-N83,Requjada,,,,,43.39149,-4.02952,5
,,,,N-N84,Barreda,43.37328,-4.04106,10
N-N84,Barreda,,,,,43.37328,-4.04106,10
,,,,N-N85,Viveda,43.38068,-4.05050,34
N-N85,Viveda,,,,,43.38068,-4.05050,34
,,,,N-N86,Camplengo,43.39260,-4.09299,119
N-N86,Camplengo,,,,,43.39260,-4.09299,119
,,,,N-N87,Santillana del Mar,43.39041,-4.10750,85
N-N87,Santillana del Mar,,,,,43.39041,-4.10750,85
,,N-N87-1,Cave of Altamira,,,43.37754,-4.12187,140
,,N-N87-2,Collegiate Church of St Juliana,,,43.39234,-4.10596,90
,,,,.,,43.39495,-4.11785,141
,,,,.,,43.39973,-4.12468,96
,,,,N-N88,El Arroyo,43.40350,-4.12661,111
N-N88,El Arroyo,,,,,43.40350,-4.12661,111
,,,,N-N89,Oreña,43.39589,-4.13444,54
N-N89,Oreña,,,,,43.39589,-4.13444,54
,,,,N-N90,Caborredondo,43.40001,-4.15973,46
N-N90,Caborredondo,,,,,43.40001,-4.15973,46
,,,,.,,43.39215,-4.16908,116
,,,,N-N91,Cigüenza,43.38803,-4.18071,36
N-N91,Cigüenza,,,,,43.38803,-4.18071,36
,,,,N-N92,Cóbreces,43.38768,-4.21434,57
N-N92,Cóbreces,,,,,43.38768,-4.21434,57
,,,,.,,43.39366,-4.22001,7
,,,,.,,43.39174,-4.22194,4
,,,,.,,43.39499,-4.22679,89
,,,,N-N93,Trasierra,43.39276,-4.23095,107
N-N93,Trasierra,,,,,43.39276,-4.23095,107
,,,,N-N94,Sierra,43.38955,-4.24234,76
N-N94,Sierra,,,,,43.38955,-4.24234,76
,,,,N-N95,La Iglesia,43.38107,-4.25197,35
N-N95,La Iglesia,,,,,43.38107,-4.25197,35
,,,,N-N96,Pando,43.37800,-4.26096,68
N-N96,Pando,,,,,43.37800,-4.26096,68
,,,,N-N97,Concha,43.38564,-4.26586,38
N-N97,Concha,,,,,43.38564,-4.26586,38
,,,,N-N98,Comillas,43.38562,-4.29222,22
N-N98,Comillas,,,,,43.38562,-4.29222,22
,,N-N98-1,El Capricho de Gaudí,,,43.38390,-4.29265,31
,,N-N98-2,Palacio de Sobrellano,,,43.38398,-4.29432,35
,,,,N-N99,Barrio Oyambre,43.38940,-4.33103,5
N-N99,Barrio Oyambre,,,,,43.38940,-4.33103,5
,,N-N99-1,Playa Oyambre,,,43.39021,-4.32972,2
,,,,.,,43.39492,-4.34541,74
,,,,.,,43.39221,-4.36664,8
,,,,.,,43.38607,-4.38062,55
,,,,N-N100,San Vicente de la Barquera,43.38150,-4.39708,6
N-N100,San Vicente de la Barquera,,,,,43.38150,-4.39708,6
,,N-N100-1,Puente de la Maza,,,43.38188,-4.39288,0
,,N-N100-2,Castillo del Rey,,,43.38529,-4.39976,14
